流程步骤,1. 输入预处理,2. 设别全息画像构建,,3. 智能诊断 (定义层),,,4. 方案生成 (执行层),,5. 标准化输出,,,,,,,,,,
上下文名称,意图与实体识别规则,设备静态资产台账 (CMDB),设备实时运行日志,故障代码映射表 (DTC),诊断决策树/排查逻辑,历史维修案例向量库,标准作业指导书 (SOP),备件库存与 BOM 信息,输出协议模板 (Schema),,,,,,,,,,
上下文描述,定义用户的意图（报修/咨询/投诉）及关键实体（如“屏幕”、“急停按钮”）的提取规则。,设备的“身份证”，包含型号、固件版本、保修期、安装位置、BOM结构等基础信息。,设备最近的遥测数据（电压、电流、温度）及系统日志，用于判断故障发生时的环境状态。,机器语言转自然语言的字典，定义 Hex 码对应的标准故障名称及严重等级。,专家定义的确定性排查流程图（如：若A参数异常 -> 查B部件 -> 否则查C线路）。,非结构化的历史维修记录、专家笔记、语音记录，用于通过相似度检索解决疑难杂症。,针对具体故障的原子化维修步骤、扭矩要求、安全警示及拆装示意图。,当前站点或周边站点的备件实时库存、备件兼容性列表。,定义前端小程序能渲染的 JSON 结构，包含结论、建议、多媒体字段、卡片样式。,,,,,,,,,,
类型,Prompt Template / 规则集,关系型数据 (结构化),时序数据 (Time-Series),静态字典 / 映射表,图谱 (Graph) / 规则链,向量嵌入 (Embeddings),结构化文档 / 知识图谱,ERP 接口数据,代码定义 / JSON Schema,,,,,,,,,,
存储方式,代码配置 / 配置文件,关系型数据库 (MySQL),时序库 (InfluxDB/IoTDB),Redis / 内存缓存,图数据库 (Neo4j) 或 JSON,向量数据库 (Milvus/FAISS),CMS / 文档数据库 (Mongo),ERP/WMS 系统 API,Git 仓库 / 配置中心,,,,,,,,,,
预估数据量,< 100 条核心规则,几十万台设备记录,单桩每日 MB 级，总库 PB 级,"< 2,000 个故障码",< 200 个核心逻辑树,"> 10,000 个案例",< 500 个标准 SOP,动态查询 (高并发),< 20 个响应模板,,,,,,,,,,
AI 辅助初始化,是 (Few-shot 自动生成),否 (需同步原有系统),否 (自动采集),否 (严格对照手册),是 (从手册抽取逻辑),是 (核心场景：清洗+向量化),是 (文档结构化提取),否,否,,,,,,,,,,
更新频度,低频 (运营调整),低频 (设备变更时),极高频 (秒级/分钟级),低频 (新协议发布),低频 (季度/半年),中频 (双周/月度沉淀),低频 (新机型/技改),高频 (实时变动),极低 (App 发版),,,,,,,,,,
检索方式,关键词匹配 / 模型推理,设备 ID 精确查询,时间窗口 + 设备 ID 查询,Error Code Key-Value 查询,规则引擎匹配 / 路径遍历,语义相似度 (KNN/ANN),标签匹配 + 关键词,物料号 / 站点 ID 查询,模板 ID 调用,,,,,,,,,,
当前支持,是,是,是,是,否 (需数字化梳理),否 (需建设 RAG),部分 (PDF 为主),是,是,,,,,,,,,,
